"exercise_name";"type_of_activity";"type_of_equipment";"body_part";"type";"muscle_groups_activated";"instructions"
"Lunges";"Mobility";"Pull-Up Bar";"Upper Body";"Hold";"Quadriceps, Triceps";"Maintain a stable position, keeping your Quadriceps, Triceps engaged throughout the duration."
"Push-Ups";"Cardio";"Kettlebells";"Full Body";"Static";"Glutes, Chest, Quadriceps, Hamstrings";"Hold the position steadily, ensuring your Glutes, Chest, Quadriceps, Hamstrings remain activated without losing alignment."
"Dumbbell Rows";"Strength";"Dumbbells";"Core";"Hold";"Traps, Triceps";"Maintain a stable position, keeping your Traps, Triceps engaged throughout the duration."
"Kettlebell Swings";"Warm-up";"Kettlebells";"Full Body";"Pull";"Glutes, Quadriceps, Abs";"Pull the kettlebells towards you using your Glutes, Quadriceps, Abs, and return to the starting position with control."
"Push-Ups";"Warm-up";"Kettlebells";"Upper Body";"Pull";"Lower Back, Lats, Quadriceps, Triceps";"Pull the kettlebells towards you using your Lower Back, Lats, Quadriceps, Triceps, and return to the starting position with control."
"Squats";"Warm-up";"Kettlebells";"Upper Body";"Hold";"Hamstrings, Quadriceps";"Maintain a stable position, keeping your Hamstrings, Quadriceps engaged throughout the duration."
"Dumbbell Rows";"Strength";"Barbell";"Full Body";"Static";"Biceps, Shoulders, Traps";"Hold the position steadily, ensuring your Biceps, Shoulders, Traps remain activated without losing alignment."
"Mountain Climbers";"Mobility";"Medicine Ball";"Full Body";"Pull";"Shoulders, Biceps, Rear Deltoids";"Pull the medicine ball towards you using your Shoulders, Biceps, Rear Deltoids, and return to the starting position with control."
"Resistance Band Pull";"Cardio";"Medicine Ball";"Core";"Hold";"Hamstrings, Lats, Biceps";"Maintain a stable position, keeping your Hamstrings, Lats, Biceps engaged throughout the duration."
"Leg Raises";"Warm-up";"Kettlebells";"Lower Body";"Static";"Shoulders, Chest, Triceps, Rear Deltoids, Abs";"Hold the position steadily, ensuring your Shoulders, Chest, Triceps, Rear Deltoids, Abs remain activated without losing alignment."
"Wall Sit";"Mobility";"Medicine Ball";"Full Body";"Pull";"Glutes, Lower Back, Lats, Shoulders";"Pull the medicine ball towards you using your Glutes, Lower Back, Lats, Shoulders, and return to the starting position with control."
"Overhead Press";"Warm-up";"Bodyweight";"Lower Body";"Push";"Biceps, Traps, Rear Deltoids, Chest";"Perform the movement by engaging your Biceps, Traps, Rear Deltoids, Chest and keeping proper form. Avoid overextending."
"Overhead Press";"Cardio";"Resistance Band";"Lower Body";"Pull";"Forearms, Abs, Hamstrings";"Pull the resistance band towards you using your Forearms, Abs, Hamstrings, and return to the starting position with control."
"Bench Press";"Mobility";"None";"Core";"Pull";"Abs, Hip Flexors, Biceps";"Pull the your body towards you using your Abs, Hip Flexors, Biceps, and return to the starting position with control."
"Bench Press";"Cardio";"Dumbbells";"Full Body";"Static";"Quadriceps, Biceps, Glutes, Rear Deltoids, Chest";"Hold the position steadily, ensuring your Quadriceps, Biceps, Glutes, Rear Deltoids, Chest remain activated without losing alignment."
"Pull-Ups";"Mobility";"Bodyweight";"Upper Body";"Static";"Core, Lower Back, Shoulders, Glutes";"Hold the position steadily, ensuring your Core, Lower Back, Shoulders, Glutes remain activated without losing alignment."
"Dumbbell Rows";"Mobility";"Pull-Up Bar";"Core";"Static";"Biceps, Glutes, Lower Back";"Hold the position steadily, ensuring your Biceps, Glutes, Lower Back remain activated without losing alignment."
"Wall Sit";"Cardio";"Cable Machine";"Core";"Push";"Quadriceps, Glutes";"Perform the movement by engaging your Quadriceps, Glutes and keeping proper form. Avoid overextending."
"Deadlifts";"Cardio";"Barbell";"Lower Body";"Push";"Biceps, Traps, Glutes";"Perform the movement by engaging your Biceps, Traps, Glutes and keeping proper form. Avoid overextending."
"Mountain Climbers";"Warm-up";"Kettlebells";"Core";"Push";"Lower Back, Shoulders, Core, Hamstrings";"Perform the movement by engaging your Lower Back, Shoulders, Core, Hamstrings and keeping proper form. Avoid overextending."
"Pull-Ups";"Mobility";"Dumbbells";"Upper Body";"Push";"Forearms, Shoulders, Lats, Chest";"Perform the movement by engaging your Forearms, Shoulders, Lats, Chest and keeping proper form. Avoid overextending."
"Push-Ups";"Mobility";"Kettlebells";"Upper Body";"Pull";"Glutes, Rear Deltoids, Lats, Hip Flexors";"Pull the kettlebells towards you using your Glutes, Rear Deltoids, Lats, Hip Flexors, and return to the starting position with control."
"Dumbbell Rows";"Warm-up";"Kettlebells";"Core";"Push";"Hamstrings, Core, Rear Deltoids, Lats, Glutes";"Perform the movement by engaging your Hamstrings, Core, Rear Deltoids, Lats, Glutes and keeping proper form. Avoid overextending."
"Deadlifts";"Warm-up";"Dumbbells";"Lower Body";"Pull";"Quadriceps, Lats, Hip Flexors, Biceps";"Pull the dumbbells towards you using your Quadriceps, Lats, Hip Flexors, Biceps, and return to the starting position with control."
"Dumbbell Rows";"Warm-up";"Resistance Band";"Upper Body";"Pull";"Triceps, Rear Deltoids, Traps";"Pull the resistance band towards you using your Triceps, Rear Deltoids, Traps, and return to the starting position with control."
"Leg Raises";"Strength";"Medicine Ball";"Full Body";"Static";"Shoulders, Biceps, Lats, Hip Flexors, Glutes";"Hold the position steadily, ensuring your Shoulders, Biceps, Lats, Hip Flexors, Glutes remain activated without losing alignment."
"Plank";"Mobility";"Cable Machine";"Core";"Static";"Lats, Core";"Hold the position steadily, ensuring your Lats, Core remain activated without losing alignment."
"Push-Ups";"Strength";"Bodyweight";"Lower Body";"Hold";"Lower Back, Hamstrings, Glutes";"Maintain a stable position, keeping your Lower Back, Hamstrings, Glutes engaged throughout the duration."
"Leg Raises";"Mobility";"Barbell";"Full Body";"Pull";"Quadriceps, Biceps, Hamstrings, Rear Deltoids, Core";"Pull the barbell towards you using your Quadriceps, Biceps, Hamstrings, Rear Deltoids, Core, and return to the starting position with control."
"Tricep Dips";"Warm-up";"None";"Core";"Pull";"Biceps, Hamstrings, Glutes";"Pull the your body towards you using your Biceps, Hamstrings, Glutes, and return to the starting position with control."
"Dumbbell Rows";"Warm-up";"Cable Machine";"Lower Body";"Pull";"Hip Flexors, Glutes, Quadriceps, Lower Back, Traps";"Pull the cable machine towards you using your Hip Flexors, Glutes, Quadriceps, Lower Back, Traps, and return to the starting position with control."
"Push-Ups";"Strength";"Pull-Up Bar";"Core";"Static";"Quadriceps, Core, Lower Back, Chest, Lats";"Hold the position steadily, ensuring your Quadriceps, Core, Lower Back, Chest, Lats remain activated without losing alignment."
"Lunges";"Cardio";"Cable Machine";"Full Body";"Static";"Forearms, Core, Lats";"Hold the position steadily, ensuring your Forearms, Core, Lats remain activated without losing alignment."
"Mountain Climbers";"Mobility";"None";"Lower Body";"Static";"Traps, Biceps, Shoulders, Abs, Hamstrings";"Hold the position steadily, ensuring your Traps, Biceps, Shoulders, Abs, Hamstrings remain activated without losing alignment."
"Tricep Dips";"Warm-up";"Dumbbells";"Upper Body";"Hold";"Glutes, Triceps, Abs, Core";"Maintain a stable position, keeping your Glutes, Triceps, Abs, Core engaged throughout the duration."
"Deadlifts";"Cardio";"Medicine Ball";"Full Body";"Pull";"Rear Deltoids, Traps, Quadriceps";"Pull the medicine ball towards you using your Rear Deltoids, Traps, Quadriceps, and return to the starting position with control."
"Bicep Curls";"Strength";"None";"Core";"Static";"Shoulders, Traps";"Hold the position steadily, ensuring your Shoulders, Traps remain activated without losing alignment."
"Leg Raises";"Strength";"Dumbbells";"Full Body";"Pull";"Quadriceps, Hamstrings, Traps, Lower Back, Abs";"Pull the dumbbells towards you using your Quadriceps, Hamstrings, Traps, Lower Back, Abs, and return to the starting position with control."
"Bench Press";"Warm-up";"Cable Machine";"Lower Body";"Hold";"Lats, Glutes, Rear Deltoids, Lower Back";"Maintain a stable position, keeping your Lats, Glutes, Rear Deltoids, Lower Back engaged throughout the duration."
"Bicep Curls";"Strength";"Pull-Up Bar";"Core";"Static";"Hamstrings, Shoulders, Core, Lats, Lower Back";"Hold the position steadily, ensuring your Hamstrings, Shoulders, Core, Lats, Lower Back remain activated without losing alignment."
"Side Plank";"Warm-up";"Medicine Ball";"Upper Body";"Static";"Core, Triceps, Lats, Hamstrings";"Hold the position steadily, ensuring your Core, Triceps, Lats, Hamstrings remain activated without losing alignment."
"Tricep Dips";"Warm-up";"Medicine Ball";"Core";"Hold";"Abs, Hip Flexors, Forearms, Chest";"Maintain a stable position, keeping your Abs, Hip Flexors, Forearms, Chest engaged throughout the duration."
"Dumbbell Rows";"Cardio";"Barbell";"Upper Body";"Static";"Hamstrings, Triceps, Hip Flexors";"Hold the position steadily, ensuring your Hamstrings, Triceps, Hip Flexors remain activated without losing alignment."
"Jumping Jacks";"Mobility";"Resistance Band";"Core";"Pull";"Glutes, Quadriceps, Forearms";"Pull the resistance band towards you using your Glutes, Quadriceps, Forearms, and return to the starting position with control."
"Squats";"Warm-up";"Pull-Up Bar";"Lower Body";"Static";"Triceps, Chest, Glutes, Lats";"Hold the position steadily, ensuring your Triceps, Chest, Glutes, Lats remain activated without losing alignment."
"Plank";"Strength";"Bodyweight";"Full Body";"Static";"Forearms, Quadriceps, Traps, Abs";"Hold the position steadily, ensuring your Forearms, Quadriceps, Traps, Abs remain activated without losing alignment."
"Plank";"Strength";"Medicine Ball";"Core";"Pull";"Shoulders, Glutes, Biceps, Abs, Lower Back";"Pull the medicine ball towards you using your Shoulders, Glutes, Biceps, Abs, Lower Back, and return to the starting position with control."
"Tricep Dips";"Mobility";"Kettlebells";"Lower Body";"Hold";"Quadriceps, Chest";"Maintain a stable position, keeping your Quadriceps, Chest engaged throughout the duration."
"Mountain Climbers";"Warm-up";"Pull-Up Bar";"Upper Body";"Push";"Lats, Abs";"Perform the movement by engaging your Lats, Abs and keeping proper form. Avoid overextending."
"Bicep Curls";"Strength";"Medicine Ball";"Upper Body";"Static";"Quadriceps, Biceps, Rear Deltoids";"Hold the position steadily, ensuring your Quadriceps, Biceps, Rear Deltoids remain activated without losing alignment."
"Wall Sit";"Strength";"None";"Lower Body";"Push";"Lower Back, Lats, Quadriceps, Glutes";"Perform the movement by engaging your Lower Back, Lats, Quadriceps, Glutes and keeping proper form. Avoid overextending."
"Plank";"Strength";"Bodyweight";"Lower Body";"Push";"Traps, Forearms";"Perform the movement by engaging your Traps, Forearms and keeping proper form. Avoid overextending."
"Jumping Jacks";"Warm-up";"Cable Machine";"Upper Body";"Static";"Traps, Hamstrings";"Hold the position steadily, ensuring your Traps, Hamstrings remain activated without losing alignment."
"Leg Raises";"Mobility";"None";"Upper Body";"Static";"Traps, Forearms, Quadriceps";"Hold the position steadily, ensuring your Traps, Forearms, Quadriceps remain activated without losing alignment."
"Jumping Jacks";"Strength";"Dumbbells";"Lower Body";"Static";"Shoulders, Traps, Hamstrings, Biceps";"Hold the position steadily, ensuring your Shoulders, Traps, Hamstrings, Biceps remain activated without losing alignment."
"Kettlebell Swings";"Cardio";"Dumbbells";"Full Body";"Push";"Shoulders, Hip Flexors, Glutes, Lower Back";"Perform the movement by engaging your Shoulders, Hip Flexors, Glutes, Lower Back and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Mobility";"Resistance Band";"Full Body";"Push";"Traps, Hamstrings, Core, Forearms, Biceps";"Perform the movement by engaging your Traps, Hamstrings, Core, Forearms, Biceps and keeping proper form. Avoid overextending."
"Tricep Dips";"Warm-up";"Resistance Band";"Full Body";"Hold";"Core, Forearms";"Maintain a stable position, keeping your Core, Forearms engaged throughout the duration."
"Deadlifts";"Mobility";"Bodyweight";"Upper Body";"Pull";"Chest, Glutes, Core, Lower Back";"Pull the bodyweight towards you using your Chest, Glutes, Core, Lower Back, and return to the starting position with control."
"Bicep Curls";"Cardio";"Barbell";"Core";"Pull";"Rear Deltoids, Chest, Lower Back, Abs, Quadriceps";"Pull the barbell towards you using your Rear Deltoids, Chest, Lower Back, Abs, Quadriceps, and return to the starting position with control."
"Wall Sit";"Mobility";"None";"Full Body";"Static";"Abs, Triceps, Biceps, Traps";"Hold the position steadily, ensuring your Abs, Triceps, Biceps, Traps remain activated without losing alignment."
"Plank";"Cardio";"Pull-Up Bar";"Core";"Pull";"Glutes, Traps, Shoulders, Quadriceps";"Pull the pull-up bar towards you using your Glutes, Traps, Shoulders, Quadriceps, and return to the starting position with control."
"Side Plank";"Cardio";"Resistance Band";"Upper Body";"Pull";"Quadriceps, Hip Flexors, Triceps, Hamstrings, Biceps";"Pull the resistance band towards you using your Quadriceps, Hip Flexors, Triceps, Hamstrings, Biceps, and return to the starting position with control."
"Side Plank";"Mobility";"Dumbbells";"Core";"Static";"Chest, Abs, Core, Lats";"Hold the position steadily, ensuring your Chest, Abs, Core, Lats remain activated without losing alignment."
"Overhead Press";"Mobility";"None";"Full Body";"Static";"Quadriceps, Hamstrings";"Hold the position steadily, ensuring your Quadriceps, Hamstrings remain activated without losing alignment."
"Plank";"Cardio";"None";"Full Body";"Static";"Traps, Hamstrings, Hip Flexors, Shoulders, Glutes";"Hold the position steadily, ensuring your Traps, Hamstrings, Hip Flexors, Shoulders, Glutes remain activated without losing alignment."
"Pull-Ups";"Warm-up";"Bodyweight";"Upper Body";"Hold";"Chest, Lats, Rear Deltoids, Shoulders, Hamstrings";"Maintain a stable position, keeping your Chest, Lats, Rear Deltoids, Shoulders, Hamstrings engaged throughout the duration."
"Pull-Ups";"Cardio";"Cable Machine";"Full Body";"Hold";"Abs, Triceps, Hip Flexors, Lower Back, Glutes";"Maintain a stable position, keeping your Abs, Triceps, Hip Flexors, Lower Back, Glutes engaged throughout the duration."
"Squats";"Cardio";"Medicine Ball";"Core";"Push";"Core, Glutes";"Perform the movement by engaging your Core, Glutes and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Mobility";"Bodyweight";"Full Body";"Push";"Shoulders, Core";"Perform the movement by engaging your Shoulders, Core and keeping proper form. Avoid overextending."
"Jumping Jacks";"Cardio";"Cable Machine";"Core";"Push";"Triceps, Quadriceps, Lats, Abs";"Perform the movement by engaging your Triceps, Quadriceps, Lats, Abs and keeping proper form. Avoid overextending."
"Lunges";"Cardio";"Resistance Band";"Full Body";"Pull";"Rear Deltoids, Shoulders, Quadriceps, Chest, Abs";"Pull the resistance band towards you using your Rear Deltoids, Shoulders, Quadriceps, Chest, Abs, and return to the starting position with control."
